Year          , Make          , Model         , Car_ID        , total_score   , ranking        
2013          , Scion         , Frs           , 235           , 20            
2012          , Volkswagen    , Cc            , 182           , 20            
2004          , Acura         , Tsx           , 230           , 20            
2010          , Honda         , Fit           , 34            , 18            
2008          , Honda         , Accord        , 226           , 18            
1993          , Mazda         , Miata         , 79            , 18            
2014          , Honda         , Civic si      , 89            , 16            
2008          , Volkswagen    , Gli           , Vip           , 16            
2005          , Volkswagen    , Jetta         , 183           , 16            
2015          , Subaru        , Sti           , 67            , 14            
2014          , Nissan        , Ssntra        , 193           , 14            
2013          , Hyundai       , Gen coupe     , 159           , 14            
2013          , Audi          , S4            , 108           , 14            
2012          , Volkswagen    , Gli           , 186           , 14            
2007          , Honda         , Civic         , 59            , 14            
2004          , Audi          , A4            , 220           , 14            
2005          , Volkswagen    , Jetta gli     , 177           , 12            
2005          , Subaru        , Sti           , 76            , 12            
2004          , Infiniti      , G35           , 95            , 12            
2017          , Volkswagen    , Gti           , 96            , 10            
2015          , Honda         , Accord        , 102           , 10            
2013          , Nissan        , Altima        , 68            , 10            
2008          , Toyota        , Matrix        , 243           , 10            
2008          , Nissan        , 350z          , 16            , 10            
2007          , Bmw           , 328i          , 111           , 10            
2004          , Volkswagen    , Gti           , 94            , 10            
1995          , Lexus         , Sc300         , 190           , 10            
1990          , Mazda         , Miata         , 138           , 10            
1987          , Volkswagen    , Jetta         , 237           , 10            
2018          , Subaru        , WRX           , 69            , 8             
2015          , Honda         , Accord        , 74            , 8             
2013          , Volkswagen    , Jett          , 185           , 8             
2010          , Volkswagen    , Cc            , 184           , 8             
2001          , Dodge         , Viper         , 42            , 8             
1996          , Volkswagen    , Jetta         , 86            , 8             
1995          , Bmw           , 318xi         , 28            , 8             
2012          , Subaru        , WRX           , 75            , 6             
2012          , Subaru        , WRX           , 134           , 6             
2008          , Acura         , TL            , 71            , 6             
2007          , Subaru        , Legacy        , 187           , 6             
2004          , Subaru        , Forester      , 64            , 6             
2001          , Lexus         , Is300         , 212           , 6             
2016          , Civic         , Si            , 72            , 4             
2010          , Volkswagen    , Gti           , 66            , 4             
2006          , Acura         , Rsx           , 174           , 4             
2010          , Audi          , A4            , 197           , 2             
2015          , Chevy         , Camaro        , 0             , 0             
2014          , Honda         , Civic         , 70            , 0             
2014          , Honda         , Civic         , 101           , 0             
